text,label,clean_text
Your account has been compromised. Click here to verify your credentials immediately.,1,account compromis click verifi credenti immedi
Update your payment information or your account will be suspended.,1,updat payment inform account suspend
Urgent: Your password is about to expire. Reset it now.,1,urgent password expir reset
Please confirm your email address to continue using our service.,1,pleas confirm email address continu use servic
Congratulations! You've won a free iPhone. Claim now!,1,congratul free iphon claim
Meeting scheduled for tomorrow at 10 AM.,0,meet schedul tomorrow number
Here is the report for Q3 financial performance.,0,report qnumber financi perform
Reminder: Please submit your timesheet by Friday.,0,remind pleas submit timesheet friday
Your subscription renewal was successful.,0,subscript renew success
Lunch meeting with the team at 12 PM.,0,lunch meet team number pm
